movie_name,movie_rank,movie_year,movie__IMDB_rating,movie_link
Capharnaüm,95,2018,8.3,https://www.imdb.com/title/tt8267604/
M - Eine Stadt sucht einen Mörder,96,1931,8.3,https://www.imdb.com/title/tt0022100/
North by Northwest,97,1959,8.3,https://www.imdb.com/title/tt0053125/
Jagten,98,2012,8.3,https://www.imdb.com/title/tt2106476/
Vertigo,99,1958,8.3,https://www.imdb.com/title/tt0052357/
Le fabuleux destin d'Amélie Poulain,100,2001,8.3,https://www.imdb.com/title/tt0211915/
A Clockwork Orange,101,1971,8.3,https://www.imdb.com/title/tt0066921/
The Batman,102,2022,8.3,https://www.imdb.com/title/tt1877830/
Full Metal Jacket,103,1987,8.2,https://www.imdb.com/title/tt0093058/
Scarface,104,1983,8.2,https://www.imdb.com/title/tt0086250/
Double Indemnity,105,1944,8.2,https://www.imdb.com/title/tt0036775/
Idi i smotri,106,1985,8.2,https://www.imdb.com/title/tt0091251/
The Apartment,107,1960,8.2,https://www.imdb.com/title/tt0053604/
Taxi Driver,108,1976,8.2,https://www.imdb.com/title/tt0075314/
To Kill a Mockingbird,109,1962,8.2,https://www.imdb.com/title/tt0056592/
The Sting,110,1973,8.2,https://www.imdb.com/title/tt0070735/
Up,111,2009,8.2,https://www.imdb.com/title/tt1049413/
L.A. Confidential,112,1997,8.2,https://www.imdb.com/title/tt0119488/
Hamilton,113,2020,8.2,https://www.imdb.com/title/tt8503618/
Heat,114,1995,8.2,https://www.imdb.com/title/tt0113277/
Ikiru,115,1952,8.2,https://www.imdb.com/title/tt0044741/
Snatch,116,2000,8.2,https://www.imdb.com/title/tt0208092/
Die Hard,117,1988,8.2,https://www.imdb.com/title/tt0095016/
Indiana Jones and the Last Crusade,118,1989,8.2,https://www.imdb.com/title/tt0097576/
Jodaeiye Nader az Simin,119,2011,8.2,https://www.imdb.com/title/tt1832382/
Metropolis,120,1927,8.2,https://www.imdb.com/title/tt0017136/
Ladri di biciclette,121,1948,8.2,https://www.imdb.com/title/tt0040522/
Incendies,122,2010,8.2,https://www.imdb.com/title/tt1255953/
1917,123,2019,8.2,https://www.imdb.com/title/tt8579674/
Taare Zameen Par,124,2007,8.2,https://www.imdb.com/title/tt0986264/
Batman Begins,125,2005,8.2,https://www.imdb.com/title/tt0372784/
Per qualche dollaro in più,126,1965,8.2,https://www.imdb.com/title/tt0059578/
Dangal,127,2016,8.2,https://www.imdb.com/title/tt5074352/
Der Untergang,128,2004,8.2,https://www.imdb.com/title/tt0363163/
The Kid,129,1921,8.2,https://www.imdb.com/title/tt0012349/
Some Like It Hot,130,1959,8.2,https://www.imdb.com/title/tt0053291/
The Father,131,2020,8.2,https://www.imdb.com/title/tt10272386/
All About Eve,132,1950,8.2,https://www.imdb.com/title/tt0042192/
Green Book,133,2018,8.2,https://www.imdb.com/title/tt6966692/
The Wolf of Wall Street,134,2013,8.2,https://www.imdb.com/title/tt0993846/
Unforgiven,135,1992,8.2,https://www.imdb.com/title/tt0105695/
Casino,136,1995,8.2,https://www.imdb.com/title/tt0112641/
Judgment at Nuremberg,137,1961,8.2,https://www.imdb.com/title/tt0055031/
Pan's Labyrinth,138,2006,8.2,https://www.imdb.com/title/tt0457430/
Ran,139,1985,8.2,https://www.imdb.com/title/tt0089881/
A Beautiful Mind,140,2001,8.2,https://www.imdb.com/title/tt0268978/
The Sixth Sense,141,1999,8.2,https://www.imdb.com/title/tt0167404/
Monty Python and the Holy Grail,142,1975,8.2,https://www.imdb.com/title/tt0071853/
There Will Be Blood,143,2007,8.2,https://www.imdb.com/title/tt0469494/
The Truman Show,144,1998,8.2,https://www.imdb.com/title/tt0120382/
Yôjinbô,145,1961,8.2,https://www.imdb.com/title/tt0055630/
The Treasure of the Sierra Madre,146,1948,8.2,https://www.imdb.com/title/tt0040897/
Shutter Island,147,2010,8.2,https://www.imdb.com/title/tt1130884/
The Great Escape,148,1963,8.2,https://www.imdb.com/title/tt0057115/
Rashômon,149,1950,8.1,https://www.imdb.com/title/tt0042876/
Jurassic Park,150,1993,8.1,https://www.imdb.com/title/tt0107290/
Kill Bill: Vol. 1,151,2003,8.1,https://www.imdb.com/title/tt0266697/
Finding Nemo,152,2003,8.1,https://www.imdb.com/title/tt0266543/
No Country for Old Men,153,2007,8.1,https://www.imdb.com/title/tt0477348/
Raging Bull,154,1980,8.1,https://www.imdb.com/title/tt0081398/
The Elephant Man,155,1980,8.1,https://www.imdb.com/title/tt0080678/
V for Vendetta,156,2005,8.1,https://www.imdb.com/title/tt0434409/
Gone with the Wind,157,1939,8.1,https://www.imdb.com/title/tt0031381/
Chinatown,158,1974,8.1,https://www.imdb.com/title/tt0071315/
Inside Out,159,2015,8.1,https://www.imdb.com/title/tt2096673/
"Lock, Stock and Two Smoking Barrels",160,1998,8.1,https://www.imdb.com/title/tt0120735/
The Thing,161,1982,8.1,https://www.imdb.com/title/tt0084787/
Dial M for Murder,162,1954,8.1,https://www.imdb.com/title/tt0046912/
El secreto de sus ojos,163,2009,8.1,https://www.imdb.com/title/tt1305806/
Hauru no ugoku shiro,164,2004,8.1,https://www.imdb.com/title/tt0347149/
The Bridge on the River Kwai,165,1957,8.1,https://www.imdb.com/title/tt0050212/
Trainspotting,166,1996,8.1,https://www.imdb.com/title/tt0117951/
"Three Billboards Outside Ebbing, Missouri",167,2017,8.1,https://www.imdb.com/title/tt5027774/
Warrior,168,2011,8.1,https://www.imdb.com/title/tt1291584/
Gran Torino,169,2008,8.1,https://www.imdb.com/title/tt1205489/
Fargo,170,1996,8.1,https://www.imdb.com/title/tt0116282/
Tonari no Totoro,171,1988,8.1,https://www.imdb.com/title/tt0096283/
Prisoners,172,2013,8.1,https://www.imdb.com/title/tt1392214/
Million Dollar Baby,173,2004,8.1,https://www.imdb.com/title/tt0405159/
Blade Runner,174,1982,8.1,https://www.imdb.com/title/tt0083658/
The Gold Rush,175,1925,8.1,https://www.imdb.com/title/tt0015864/
Catch Me If You Can,176,2002,8.1,https://www.imdb.com/title/tt0264464/
On the Waterfront,177,1954,8.1,https://www.imdb.com/title/tt0047296/
Bacheha-Ye aseman,178,1997,8.1,https://www.imdb.com/title/tt0118849/
Harry Potter and the Deathly Hallows: Part 2,179,2011,8.1,https://www.imdb.com/title/tt1201607/
The Third Man,180,1949,8.1,https://www.imdb.com/title/tt0041959/
Gone Girl,181,2014,8.1,https://www.imdb.com/title/tt2267998/
Ben-Hur,182,1959,8.1,https://www.imdb.com/title/tt0052618/
12 Years a Slave,183,2013,8.1,https://www.imdb.com/title/tt2024544/
The General,184,1926,8.1,https://www.imdb.com/title/tt0017925/
The Deer Hunter,185,1978,8.1,https://www.imdb.com/title/tt0077416/
Smultronstället,186,1957,8.1,https://www.imdb.com/title/tt0050986/
Before Sunrise,187,1995,8.1,https://www.imdb.com/title/tt0112471/
In the Name of the Father,188,1993,8.1,https://www.imdb.com/title/tt0107207/
Mr. Smith Goes to Washington,189,1939,8.1,https://www.imdb.com/title/tt0031679/
The Grand Budapest Hotel,190,2014,8.1,https://www.imdb.com/title/tt2278388/
Pather Panchali,191,1955,8.1,https://www.imdb.com/title/tt0048473/
Room,192,2015,8.1,https://www.imdb.com/title/tt3170832/
Sherlock Jr.,193,1924,8.1,https://www.imdb.com/title/tt0015324/
Hacksaw Ridge,194,2016,8.1,https://www.imdb.com/title/tt2119532/
How to Train Your Dragon,195,2010,8.1,https://www.imdb.com/title/tt0892769/
Salinui chueok,196,2003,8.1,https://www.imdb.com/title/tt0353969/
Le salaire de la peur,197,1953,8.1,https://www.imdb.com/title/tt0046268/
Barry Lyndon,198,1975,8.1,https://www.imdb.com/title/tt0072684/
Det sjunde inseglet,199,1957,8.1,https://www.imdb.com/title/tt0050976/
Klaus,200,2019,8.1,https://www.imdb.com/title/tt4729430/
The Big Lebowski,201,1998,8.1,https://www.imdb.com/title/tt0118715/
Mad Max: Fury Road,202,2015,8.1,https://www.imdb.com/title/tt1392190/
Relatos salvajes,203,2014,8.1,https://www.imdb.com/title/tt3011894/
"Monsters, Inc.",204,2001,8.1,https://www.imdb.com/title/tt0198781/
Mary and Max.,205,2009,8.1,https://www.imdb.com/title/tt0978762/
Jaws,206,1975,8.1,https://www.imdb.com/title/tt0073195/
La passion de Jeanne d'Arc,207,1928,8.1,https://www.imdb.com/title/tt0019254/
Hotel Rwanda,208,2004,8.1,https://www.imdb.com/title/tt0395169/
Rocky,209,1976,8.1,https://www.imdb.com/title/tt0075148/
Dead Poets Society,210,1989,8.1,https://www.imdb.com/title/tt0097165/
Tôkyô monogatari,211,1953,8.1,https://www.imdb.com/title/tt0046438/
Platoon,212,1986,8.1,https://www.imdb.com/title/tt0091763/
Ford v Ferrari,213,2019,8.1,https://www.imdb.com/title/tt1950186/
The Terminator,214,1984,8.1,https://www.imdb.com/title/tt0088247/
Stand by Me,215,1986,8.1,https://www.imdb.com/title/tt0092005/
Rush,216,2013,8.0,https://www.imdb.com/title/tt1979320/
Into the Wild,217,2007,8.0,https://www.imdb.com/title/tt0758758/
The Wizard of Oz,218,1939,8.0,https://www.imdb.com/title/tt0032138/
Logan,219,2017,8.0,https://www.imdb.com/title/tt3315342/
Spotlight,220,2015,8.0,https://www.imdb.com/title/tt1895587/
Network,221,1976,8.0,https://www.imdb.com/title/tt0074958/
Groundhog Day,222,1993,8.0,https://www.imdb.com/title/tt0107048/
Ratatouille,223,2007,8.0,https://www.imdb.com/title/tt0382932/
The Exorcist,224,1973,8.0,https://www.imdb.com/title/tt0070047/
Hachi: A Dog's Tale,225,2009,8.0,https://www.imdb.com/title/tt1028532/
The Incredibles,226,2004,8.0,https://www.imdb.com/title/tt0317705/
The Best Years of Our Lives,227,1946,8.0,https://www.imdb.com/title/tt0036868/
Dersu Uzala,228,1975,8.0,https://www.imdb.com/title/tt0071411/
Before Sunset,229,2004,8.0,https://www.imdb.com/title/tt0381681/
Rebecca,230,1940,8.0,https://www.imdb.com/title/tt0032976/
Babam ve Oglum,231,2005,8.0,https://www.imdb.com/title/tt0476735/
The Grapes of Wrath,232,1940,8.0,https://www.imdb.com/title/tt0032551/
Cool Hand Luke,233,1967,8.0,https://www.imdb.com/title/tt0061512/
To Be or Not to Be,234,1942,8.0,https://www.imdb.com/title/tt0035446/
Pirates of the Caribbean: The Curse of the Black Pearl,235,2003,8.0,https://www.imdb.com/title/tt0325980/
La battaglia di Algeri,236,1966,8.0,https://www.imdb.com/title/tt0058946/
Amores perros,237,2000,8.0,https://www.imdb.com/title/tt0245712/
Dune: Part One,238,2021,8.0,https://www.imdb.com/title/tt1160419/
The Sound of Music,239,1965,8.0,https://www.imdb.com/title/tt0059742/
Life of Brian,240,1979,8.0,https://www.imdb.com/title/tt0079470/
Persona,241,1966,8.0,https://www.imdb.com/title/tt0060827/
Les quatre cents coups,242,1959,8.0,https://www.imdb.com/title/tt0053198/
It Happened One Night,243,1934,8.0,https://www.imdb.com/title/tt0025316/
La haine,244,1995,8.0,https://www.imdb.com/title/tt0113247/
Aladdin,245,1992,8.0,https://www.imdb.com/title/tt0103639/
Beauty and the Beast,246,1991,8.0,https://www.imdb.com/title/tt0101414/
Gandhi,247,1982,8.0,https://www.imdb.com/title/tt0083987/
The Help,248,2011,8.0,https://www.imdb.com/title/tt1454029/
Ah-ga-ssi,249,2016,8.0,https://www.imdb.com/title/tt4016934/
Dances with Wolves,250,1990,8.0,https://www.imdb.com/title/tt0099348/
